[caa-fingerprint] [dns] [info] visamobile-dr.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnp-ifs-rp04.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp50.fisglobal.com
[caa-fingerprint] [dns] [info] webaccess-fame.fisglobal.com
[caa-fingerprint] [dns] [info] pdcitbrp08.fisglobal.com
[caa-fingerprint] [dns] [info] uat-stcm.fisglobal.com
[caa-fingerprint] [dns] [info] uat-scotiabankcolpatria-riskreporting.fisglobal.com
[caa-fingerprint] [dns] [info] uatfastval.fisglobal.com
[caa-fingerprint] [dns] [info] vcr-uat.fisglobal.com
[caa-fingerprint] [dns] [info] wstadmin-careysecuritiesinc-uat.fisglobal.com
[caa-fingerprint] [dns] [info] wedbush-scm.fisglobal.com
[caa-fingerprint] [dns] [info] truist-scm.fisglobal.com
[caa-fingerprint] [dns] [info] pdcitbrp05.fisglobal.com
[caa-fingerprint] [dns] [info] tools.fisglobal.com
[caa-fingerprint] [dns] [info] pdcitbrp12.fisglobal.com
[caa-fingerprint] [dns] [info] ubs-margin-advisor.fisglobal.com
[caa-fingerprint] [dns] [info] visamobile.fisglobal.com
[caa-fingerprint] [dns] [info] ux.fisglobal.com
[caa-fingerprint] [dns] [info] xrpwsi.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp04.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp05.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp07.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp06.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp08.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp09.fisglobal.com
"[dns-saas-service-detection] [dns] [info] qr.fisglobal.com [""q-r.to""]"
[caa-fingerprint] [dns] [info] pdclnprp13.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp14.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp15.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp16.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp17.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] portalch.ssb.fisglobal.com [""portalch.ssb.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection] [dns] [info] pm-bounces.fisglobal.com [""pm.mtasv.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] pnc-ecm.fisglobal.com [""pnc-ecm.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclnprp19.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp21.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp35.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp37.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp27.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp32.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp20.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp30.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp25.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp24.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp31.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp38.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp23.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp39.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] rbcpcg-scm-uat.fisglobal.com [""rbcpcg-scm-uat.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] test-urt-reporting.fisglobal.com [""test-urt-reporting.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection] [dns] [info] refer.fisglobal.com [""unbouncepages.com""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] sai-scm.fisglobal.com [""sai-scm.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclnprp45.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp47.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp46.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] tgtuatdsprelim.fisglobal.com [""tgtuatdsprelim.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] tgtuatprelim.fisglobal.com [""tgtuatprelim.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclnprp44.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp43.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] sso.fisglobal.com [""sso.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclnprp42.fisglobal.com
"[dns-saas-service-detection] [dns] [info] showcase.fisglobal.com [""tl9xwnngcptt6sn3dg9fqn52cp48.cp-sap.sfmc-content.com""]"
[caa-fingerprint] [dns] [info] pdclnprp51.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp48.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] statefarm-scm-uat.fisglobal.com [""statefarm-scm-uat.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclnprp49.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] truist-scm.fisglobal.com [""truist-scm.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclnprp53.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp52.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] truistezuat.fisglobal.com [""truistezuat.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] uat-scotiabankcolpatria-riskreporting.fisglobal.com [""uat-scotiabankcolpatria-riskreporting.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] uat-stcm.fisglobal.com [""uat-stcm.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] uatfastval.fisglobal.com [""uatfastval.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclpcrp13.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp54.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp57.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] vcr-uat.fisglobal.com [""vcr-uat.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclpcrp15.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp55.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp59.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp61.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp60.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp01.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp62.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] ubs-margin-advisor.fisglobal.com [""ubs-margin-advisor.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclnprp65.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp07.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp10.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp11.fisglobal.com
"[dns-saas-service-detection] [dns] [info] ux.fisglobal.com [""rpltcspd03.fnis.com""]"
